Species,Phylum,Class,Family
Decatopecten strangei,Mollusca,Bivalvia,Pectinidae
Euchelus atrata,Mollusca,Gastropoda,Chilodontaidae
Hippocampus hendriki,Chordata,Actinopterygii,Syngnathidae
Hyastenus campbelli,Arthropoda,Malacostraca,Epialtidae
Iconaster longimanus,Echinodermata,Asteroidea,Goniasteridae
Izanami inermis,Arthropoda,Malacostraca,Matutidae
Metapenaeopsis novaeguineae,Arthropoda,Malacostraca,Penaeidae
Mimachlamys gloriosa,Mollusca,Bivalvia,Pectinidae
Molpadia sp2,Echinodermata,Holothuroidea,Molpadiidae
Murex brevispina,Mollusca,Gastropoda,Muricidae
Onigocia pedimacula,Chordata,Actinopterygii,Platycephalidae
Ophiopsammus yoldii,Echinodermata,Ophiuroidea,Ophiodermatidae
Parapenaeopsis venusta,Arthropoda,Malacostraca,Penaeidae
Parapercis diplospilus,Chordata,Actinopterygii,Pinguipedidae
Parthenope sp67,Ascomycota,Leotiomycetes,Parthenope
Phalangipus filiformis,Arthropoda,Malacostraca,Epialtidae
Photololligo sp1,Mollusca,Cephalopoda,Loliginidae
Platydoris sp1,Mollusca,Gastropoda,Discodorididae
Sepia smithi,Mollusca,Cephalopoda,Sepiidae
Solen siphons,Mollusca,Bivalvia,Solenidae
Sphyraena obtusata?,Chordata,Actinopterygii,Sphyraenidae
Trachypenaeus anchoralis,Arthropoda,Malacostraca,Penaeidae
Caulerpa sp2,Chlorophyta,Ulvophyceae,Caulerpaceae
Ctenophora sp,Ctenophora,NULL,NULL
Halimeda sp3,Chlorophyta,Ulvophyceae,Halimedaceae
Ophiopeza spinosa,Echinodermata,Ophiuroidea,Ophiopezidae
Selenaria maculata,Bryozoa,Gymnolaemata,Selenariidae
Sporochnus moorei,Ochrophyta,Phaeophyceae,Sporochnaceae
Biplex pulchellum,Mollusca,Gastropoda,Cymatiidae
Cuspidaria sp1,Tracheophyta,Magnoliopsida,Bignoniaceae
Dorippe sp7142-12,Arthropoda,Malacostraca,Dorippidae
Ebalia lambriformis,Arthropoda,Malacostraca,Leucosiidae
Echinomuricea sp1,Cnidaria,Anthozoa,Plexauridae
Lomopsis sp1,Mollusca,Bivalvia,Limopsidae
Acrosterigma sp3,Mollusca,Bivalvia,Cardiidae
Chicoreus sp1,Mollusca,Gastropoda,Muricidae
Chondrilla sp3,Tracheophyta,Magnoliopsida,Asteraceae
Corbula macgillvrayi,Mollusca,Bivalvia,Corbulidae
Gracilaria sp1,Rhodophyta,Florideophyceae,Gracilariaceae
Hexapus sexpes,Arthropoda,Malacostraca,Hexapodidae
Ircinia sp6,Porifera,Demospongiae,Irciniidae
Leionucula superba,Mollusca,Bivalvia,Nuculidae
Leucetta microrhapis,Porifera,Calcarea,Leucettidae
Liagore rubromaculata,Arthropoda,Malacostraca,Xanthidae
Modiolus elongatus,Mollusca,Bivalvia,Mytilidae
Nursilia sp73,Arthropoda,Malacostraca,Leucosiidae
Parellisina sp,Bryozoa,Gymnolaemata,Calloporidae
Plicatula chinensis,Mollusca,Bivalvia,Plicatulidae
Astropecten sp4,Echinodermata,Asteroidea,Astropectinidae
Callyspongia sp23,Porifera,Demospongiae,Callyspongiidae
Dendrilla sp4,Porifera,Demospongiae,Darwinellidae
Dysidea arenaria,Porifera,Demospongiae,Dysideidae
Ellisella sp1,Cnidaria,Anthozoa,Ellisellidae
Engyprosopon latifrons,Chordata,Actinopterygii,Bothidae
Pentaceraster sp63,Echinodermata,Asteroidea,Oreasteridae
Phos sculptilus,Mollusca,Gastropoda,Nassariidae
Pontocaris orientalis,Arthropoda,Malacostraca,Crangonidae
Holothuria sp20,Echinodermata,Holothuroidea,Holothuriidae
Hyrtios sp6,Porifera,Demospongiae,Thorectidae
Ircinia sp7,Porifera,Demospongiae,Irciniidae
Chama sp,Mollusca,Bivalvia,Chamidae
Nemipterus balinensoides,Chordata,Actinopterygii,Nemipteridae
Nemipterus sp41,Chordata,Actinopterygii,Nemipteridae
Nemipterus sp3,Chordata,Actinopterygii,Nemipteridae
Odontodactylus cultrifer,Arthropoda,Malacostraca,Odontodactylidae
Ophiothrix foveolata,Echinodermata,Ophiuroidea,Ophiotrichidae
Oratosquillina gravieri,Arthropoda,Malacostraca,Squillidea
Torquigener sp1,Chordata,Actinopterygii,Tetraodontidae
Psammoclemma sp5,Porifera,Demospongiae,Chondropsidae
Hyrtios sp1,Porifera,Demospongiae,Thorectidae
Ircinia sp8,Porifera,Demospongiae,Irciniidae
Menella sp12,Cnidaria,Anthozoa,Plexauridae
Niphates sp20,Porifera,Demospongiae,Niphatidae
Petrosia sp3,Porifera,Demospongiae,Petrosiidae
Semipallium fulvicostatum,Mollusca,Bivalvia,Pectinidae
Xiphocheilus typus,Chordata,Actinopterygii,Labridae
Yongeichthys nebulosus,Chordata,Actinopterygii,Gobiidae
Amblypomacentrus breviceps,Chordata,Actinopterygii,Pomacentridae
Lissocarcinus orbicularis,Arthropoda,Malacostraca,Portunidae
Palicoides whitei,Arthropoda,Malacostraca,Palicidae
Chromis nitida,Chordata,Actinopterygii,Pomacentridae
Clathria sp10,Porifera,Demospongiae,Microcionidae
Clathria sp15,Porifera,Demospongiae,Microcionidae
Clathria sp16,Porifera,Demospongiae,Microcionidae
Clathria sp17,Porifera,Demospongiae,Microcionidae
Cloridina chlorida,Arthropoda,Malacostraca,Squillidea
Cloridina verrucosa,Arthropoda,Malacostraca,Squillidea
Conus aculeformis,Mollusca,Gastropoda,Conidae
Conus conus,Mollusca,Gastropoda,Conidae
Corbula fortisulcata,Mollusca,Bivalvia,Corbulidae
Echinogorgia sp5,Cnidaria,Anthozoa,Plexauridae
Fulvia scalata,Mollusca,Bivalvia,Cardiidae
Gymnothorax sp41,Chordata,Actinopterygii,Muraenidae
Harpa articularis,Mollusca,Gastropoda,Harpidae
Harpa foot,Mollusca,Gastropoda,Harpidae
Mimachlamys sp1,Mollusca,Bivalvia,Pectinidae
Minous sp41,Chordata,Actinopterygii,Synanceiidae
Ophiomaza cacaotica,Echinodermata,Ophiuroidea,Ophiotrichidae
Paguristes sp2358-2,Arthropoda,Malacostraca,Diogenidae
Phalangipus hystrix,Arthropoda,Malacostraca,Epialtidae
Phalium angasi,Mollusca,Gastropoda,Cassidae
Psammoclemma sp3,Porifera,Demospongiae,Chondropsidae
Pteroides sp1,Cnidaria,Anthozoa,Pennatulidae
Rogadius pristiger,Chordata,Actinopterygii,Platycephalidae
Scolopsis taeniopterus,Chordata,Actinopterygii,Nemipteridae
Semele lamellosa,Mollusca,Bivalvia,Semelidae
Strombus vittatus,Mollusca,Gastropoda,Strombidae
Thenus parindicus,Arthropoda,Malacostraca,Scyllaridae
Tonna chinensis,Mollusca,Gastropoda,Tonnidae
Tugonia inopinata,Mollusca,Bivalvia,Myidae
Arnoglossus macrolophus,Chordata,Actinopterygii,Bothidae
Scleronephthya sp16,Cnidaria,Anthozoa,Nephtheidae
Scleronephthya sp7,Cnidaria,Anthozoa,Nephtheidae
Spirastrella sp12,Porifera,Demospongiae,Spirastrellidae
Studeriotes sp2,Cnidaria,Anthozoa,Viguieriotidae
Stylopoma sp,Bryozoa,Gymnolaemata,Schizoporellidae
Synnotum sp,Bryozoa,Gymnolaemata,Epistomiidae
Agelas sp2,Porifera,Demospongiae,Agelasidae
Antigona persimilis,Mollusca,Bivalvia,Veneridae
Cynoglossus sp41,Chordata,Actinopterygii,Cynoglossidae
Semicassis sp2,Mollusca,Gastropoda,Cassidae
Adenifera armata,Bryozoa,Gymnolaemata,Calloporidae
Axinella sp4,Porifera,Demospongiae,Axinellidae
Beania regularis,Bryozoa,Gymnolaemata,Beaniidae
Chlidonia pyriformis,Bryozoa,Gymnolaemata,Chlidoniidae
Dosinia histrio,Mollusca,Bivalvia,Veneridae
Echinogorgia sp17,Cnidaria,Anthozoa,Plexauridae
Echinogorgia sp4,Cnidaria,Anthozoa,Plexauridae
Oliva sp3,Mollusca,Gastropoda,Olividae
Smittipora abyssicola,Bryozoa,Gymnolaemata,Onychocellidae
Smittipora cordiformis,Bryozoa,Gymnolaemata,Onychocellidae
Thacanophrys sp245,Arthropoda,Malacostraca,Majidae
Austrolibinia gracilipes,Arthropoda,Malacostraca,Epialtidae
Clorida obtusa,Arthropoda,Malacostraca,Squillidea
Cypraea sp3,Mollusca,Gastropoda,Cypraeidae
Dictyopteris sp2,Ochrophyta,Phaeophyceae,Dictyotaceae
Dictyota sp2,Ochrophyta,Phaeophyceae,Dictyotaceae
Barnacle sp1,NULL,NULL,NULL
Bugula dentata,Bryozoa,Gymnolaemata,Bugulidae
Callyspongia sp70,Porifera,Demospongiae,Callyspongiidae
Callyspongia sp96,Porifera,Demospongiae,Callyspongiidae
Calyptotheca triangula,Bryozoa,Gymnolaemata,Lanceoporidae
Calyptotheca wasinensis,Bryozoa,Gymnolaemata,Lanceoporidae
Catenicella sp1,Bryozoa,Gymnolaemata,Catenicellidae
Chama sp5,Mollusca,Bivalvia,Chamidae
Clathrina sp1,Porifera,Calcarea,Clathrinidae
Codium sp1,Chlorophyta,Ulvophyceae,Codiaceae
Coelarthrum sp1,Rhodophyta,Florideophyceae,Rhodymeniaceae
Cosciniopsis sp,Bryozoa,Gymnolaemata,Gigantoporidae
Echinoneus sp1,Echinodermata,Echinoidea,Echinoneidae
Emballotheca sp,Bryozoa,Gymnolaemata,Lanceoporidae
Gelidium sp,Rhodophyta,Florideophyceae,Gelidiaceae
Hippopetraliella crassocirca,Bryozoa,Gymnolaemata,Petraliidae
Iodictyum sp,Bryozoa,Gymnolaemata,Phidoloporidae
Lithophyllum sp1,Rhodophyta,Florideophyceae,Corallinaceae
Mucropetraliella bennetti,Bryozoa,Gymnolaemata,Petraliidae
Natica alapapilionis,Mollusca,Gastropoda,Naticidae
Niphates sp50,Porifera,Demospongiae,Niphatidae
Octocorallia sp,NULL,NULL,NULL
Oliva sp2,Mollusca,Gastropoda,Olividae
Pleurocodonellina laciniosa,Bryozoa,Gymnolaemata,Smittinidae
Psammocinia sp3,Porifera,Demospongiae,Irciniidae
Ptilocaulis sp4,Porifera,Demospongiae,Axinellidae
Schizomavella inclusa,Bryozoa,Gymnolaemata,Lanceoporidae
Spirastrella sp3,Porifera,Demospongiae,Spirastrellidae
Spondylus sp1,Mollusca,Bivalvia,Spondylidae
Spongia sp9,Porifera,Demospongiae,Spongiidae
Urnalana whitei,Arthropoda,Malacostraca,Leucosiidae
Acrosterigma vlamigi,Mollusca,Bivalvia,Cardiidae
Halichondria sp5,Porifera,Demospongiae,Halichondriidae
Hapalochlaena sp,Mollusca,Cephalopoda,Octopodidae
Turris crispa,Mollusca,Gastropoda,Turridae
Pseudanthias sp41,Chordata,Actinopterygii,Serranidae
Solenocaulon sp1,Cnidaria,Anthozoa,Anthothelidae
Stelletta clavosa,Porifera,Demospongiae,Ancorinidae
Thalamita sexlobata,Arthropoda,Malacostraca,Portunidae
Umbellulifera sp5,Cnidaria,Anthozoa,Nephtheidae
Vulsella vulsella,Mollusca,Bivalvia,Pteriidae
Characodoma sp,Bryozoa,Gymnolaemata,Cleidochasmatidae
Chlamys sp3,Mollusca,Bivalvia,Pectinidae
Cigclisula sp,Bryozoa,Gymnolaemata,Colatooeciidae
Cryptopodia dorsalis,Arthropoda,Malacostraca,Parthenopidae
Dasya sp1,Rhodophyta,Florideophyceae,Dasyaceae
Dictyota sp1,Ochrophyta,Phaeophyceae,Dictyotaceae
Cerithium sp13,Mollusca,Gastropoda,Cerithium
Discobotellina biperforata,Foraminifera,Monothalamea,Crithioninidae
Dysidea sp23,Porifera,Demospongiae,Dysideidae
Fusinus sp5,Mollusca,Gastropoda,Fasciolariidae
Hypoglossum sp1,Rhodophyta,Florideophyceae,Delesseriaceae
Labioporella sp,Bryozoa,Gymnolaemata,Steginoporellidae
Neopalicus jukesii,Arthropoda,Malacostraca,Palicidae
Oceanapia tubes,Porifera,Demospongiae,Phloeodictyidae
Oratosquillina berentsae,Arthropoda,Malacostraca,Squillidea
Dascyllus melanurus,Chordata,Actinopterygii,Pomacentridae
Diagramma pictum,Chordata,Actinopterygii,Haemulidae
Dichotella gemmacea,Cnidaria,Anthozoa,Ellisellidae
Dysidea sp46,Porifera,Demospongiae,Dysideidae
Echinogorgia sp6,Cnidaria,Anthozoa,Plexauridae
Paracentropogon longispinus,Chordata,Actinopterygii,Tetrarogidae
Pomadasys trifasciatus,Chordata,Actinopterygii,Haemulidae
Repomucenus belcheri,Chordata,Actinopterygii,Callionymidae
Sillago lutea,Chordata,Actinopterygii,Sillaginidae
Terapon puta,Chordata,Actinopterygii,Terapontidae
Trachyrhamphus longirostris,Chordata,Actinopterygii,Syngnathidae
Astropecten sp12,Echinodermata,Asteroidea,Astropectinidae
Austrolepidopa sp73,Arthropoda,Malacostraca,Albuneidae
Figularia clithridiata,Bryozoa,Gymnolaemata,Cribrilinidae
Heteropsammia cochlea,Cnidaria,Anthozoa,Dendrophylliidae
Hydrolithon reinboldii,Rhodophyta,Florideophyceae,Corallinaceae
Ianthella quadrangulata,Porifera,Demospongiae,Ianthellidae
Neocancilla sp2,Mollusca,Gastropoda,Mitridae
Paphia sp1,Mollusca,Bivalvia,Veneridae
Venericardia sp1,Mollusca,Bivalvia,Carditidae
Arca sp1,Mollusca,Bivalvia,Arcidae
Bathypilumnus pugilator,Arthropoda,Malacostraca,Pilumnidae
Calloporina sigillata,Bryozoa,Gymnolaemata,Microporellidae
Cardita sp2,Mollusca,Bivalvia,Carditidae
Caulerpa sp1,Chlorophyta,Ulvophyceae,Caulerpaceae
Chama pulchella,Mollusca,Bivalvia,Chamidae
Chama sp2,Mollusca,Bivalvia,Chamidae
Chama sp6,Mollusca,Bivalvia,Chamidae
Chondrophycus sp1,Rhodophyta,Florideophyceae,Rhodomelaceae
Clathria sp12,Porifera,Demospongiae,Microcionidae
Clypeaster sp3,Echinodermata,Echinoidea,Clypeasteridae
Crepis sp,Bryozoa,Gymnolaemata,Cymuloporidae
Cryptodromiopsis sp30450,Arthropoda,Malacostraca,Dromiidae
Dendrilla sp9,Porifera,Demospongiae,Darwinellidae
Dysidea sp13,Porifera,Demospongiae,Dysideidae
Exostesia didomatia,Bryozoa,Gymnolaemata,Chaperiidae
Halimeda sp2,Chlorophyta,Ulvophyceae,Halimedaceae
Hapalochlaena sp62,Mollusca,Cephalopoda,Octopodidae
Heterosiphonia muelleri,Rhodophyta,Florideophyceae,Dasyaceae
Hypoglossum sp3,Rhodophyta,Florideophyceae,Delesseriaceae
Inversiula inversa,Bryozoa,Gymnolaemata,Inversiulidae
Ircinia sp5,Porifera,Demospongiae,Irciniidae
Laurencia sp4,Rhodophyta,Florideophyceae,Rhodomelaceae
Lepralia elimata,Bryozoa,Gymnolaemata,Hippoporinidae
Lima sp1,Mollusca,Bivalvia,Limidae
Galaxaura obtusata,Rhodophyta,Florideophyceae,Galaxauraceae
Mammilla mammata,Mollusca,Gastropoda,Naticidae
Myra australis,Arthropoda,Malacostraca,Leucosiidae
Myra eudactyla,Arthropoda,Malacostraca,Leucosiidae
Padina sp,Ochrophyta,Phaeophyceae,Dictyotaceae
Philine angasi,Mollusca,Gastropoda,Philinidae
Placamen sp2,Mollusca,Bivalvia,Veneridae
Mollusca sp,Mollusca,NULL,NULL
Penaeus esculentus,Arthropoda,Malacostraca,Penaeidae
Tlos muriger,Arthropoda,Malacostraca,Leucosiidae
Acetes sp34267,Arthropoda,Malacostraca,Sergestidae
Arnoglossus sp41,Chordata,Actinopterygii,Bothidae
Macrophthalmus convexus,Arthropoda,Malacostraca,Macrophthalmidae
Nassarius cremmatus,Mollusca,Gastropoda,Nassariidae
Stomatella sp2,Mollusca,Gastropoda,Trochidae
Acetabularia sp,Chlorophyta,Ulvophyceae,Polyphysaceae
Chondria sp3,Rhodophyta,Florideophyceae,Rhodomelaceae
Penaeus semisulcatus,Arthropoda,Malacostraca,Penaeidae
Dexillichthys muelleri,Chordata,Actinopterygii,Soleidae
Macrophthalmus barnesi,Arthropoda,Malacostraca,Macrophthalmidae
Raspailia sp14,Tracheophyta,Magnoliopsida,Bruniaceae
Raspailia sp19,Tracheophyta,Magnoliopsida,Bruniaceae
Sargassum sp,Ochrophyta,Phaeophyceae,Sargassaceae
Solieria sp,Rhodophyta,Florideophyceae,Solieriaceae
Tubipora musica,Cnidaria,Anthozoa,Tubiporidae
Valonia macrophysa,Chlorophyta,Ulvophyceae,Valoniaceae
Amphiura sp1,Echinodermata,Ophiuroidea,Amphiuridae
Ophiothrix sp10,Echinodermata,Ophiuroidea,Ophiotrichidae
Echinomuricea sp9,Cnidaria,Anthozoa,Plexauridae
Sicyonia ocellata,Arthropoda,Malacostraca,Sicyoniidae
Siganus sp41,Chordata,Actinopterygii,Siganidae
Suezichthys gracilis,Chordata,Actinopterygii,Labridae
Tethya sp1,Porifera,Demospongiae,Tethyidae
Trachypenaeus fulvus,Arthropoda,Malacostraca,Penaeidae
Gymnothorax minor,Chordata,Actinopterygii,Muraenidae
Avrainvillea sp1,Chlorophyta,Ulvophyceae,Dichotomosiphonaceae
Callyspongia sp3,Porifera,Demospongiae,Callyspongiidae
Callyspongia sp5,Porifera,Demospongiae,Callyspongiidae
Caryophyllia sp,Cnidaria,Anthozoa,Caryophylliidae
Chaperiopsis sp,Bryozoa,Gymnolaemata,Chaperiidae
Haustellum tweedianum,Mollusca,Gastropoda,Muricidae
Nursia sinuata,Arthropoda,Malacostraca,Leucosiidae
Paradorippe australiensis,Arthropoda,Malacostraca,Dorippidae
Arcania foleolata,Arthropoda,Malacostraca,Leucosiidae
Brissopsis luzonica,Echinodermata,Echinoidea,Brissidae
Phyllodictyon sp1,Chlorophyta,Ulvophyceae,Boodleaceae
Poricellaria sp,Bryozoa,Gymnolaemata,Poricellariidae
Retelepralia sp,Bryozoa,Gymnolaemata,Cheiloporinidae
Takedana eriphioides,Arthropoda,Malacostraca,Pilumnidae
Turbo gemmatus,Mollusca,Gastropoda,Turbinidae
Udotea sp1,Chlorophyta,Ulvophyceae,Udoteaceae
Aplysinella sp4,Porifera,Demospongiae,Aplysinellidae
Asthenosoma sp2,Echinodermata,Echinoidea,Echinothuriidae
Astropecten sp314,Echinodermata,Asteroidea,Astropectinidae
Barbatia parvillosa,Mollusca,Bivalvia,Arcidae
Callyspongia sp1,Porifera,Demospongiae,Callyspongiidae
Celleporaria sp311,Bryozoa,Gymnolaemata,Lepraliellidae
Cynoglossus punctate,Chordata,Actinopterygii,Cynoglossidae
Cypselurus hexazona,Chordata,Actinopterygii,Exocoetidae
Erugosquilla woodmasoni,Arthropoda,Malacostraca,Squillidea
Haliclona sp18,Porifera,Demospongiae,Chalinidae
Ircinia sp27,Porifera,Demospongiae,Irciniidae
Mollusca eggs,Mollusca,NULL,NULL
Nudibranch sp9,NULL,NULL,NULL
Pseudoceratina sp2,Porifera,Demospongiae,Pseudoceratinidae
Pteroides sp2,Cnidaria,Anthozoa,Pennatulidae
Reniochalina stalagmitis,Porifera,Demospongiae,Axinellidae
Sepia pharaonis,Mollusca,Cephalopoda,Sepiidae
Siphamia versicolor,Chordata,Actinopterygii,Apogonidae
Annella sp3,Cnidaria,Anthozoa,Subergorgiidae
Micippa philyra,Arthropoda,Malacostraca,Majidae
Microdictyon sp1,Onychophora,Microdictyon,NULL
Mimosella verticillata,Bryozoa,Gymnolaemata,Mimosellidae
Modiolus sp1,Mollusca,Bivalvia,Mytilidae
Nevianipora sp,Bryozoa,Stenolaemata,Diaperoeciidae
Peronella macroproctes,Echinodermata,Echinoidea,Laganidae
Plicatula sp2,Mollusca,Bivalvia,Plicatulidae
Polysiphonia sp1,Rhodophyta,Florideophyceae,Rhodomelaceae
Spondylus sp9,Mollusca,Bivalvia,Spondylidae
Areosquilla indica,Arthropoda,Malacostraca,Squillidae
Bellotia eriophorum,Ochrophyta,Phaeophyceae,Sporochnaceae
Botryocladia sp1,Rhodophyta,Florideophyceae,Rhodymeniaceae
Callogobius sp,Chordata,Actinopterygii,Gobiidae
Camposcia retusa,Arthropoda,Malacostraca,Inachidae
Chlorocladus australasicus,Chlorophyta,Ulvophyceae,Dasycladaceae
Cirrhilabrus sp41,Chordata,Actinopterygii,Labridae
Cladophora pseudostruveoides,Chlorophyta,Ulvophyceae,Cladophoraceae
Clathrina sp2,Porifera,Calcarea,Clathrinidae
Coelocarteria singaporensis,Porifera,Demospongiae,Isodictyidae
Cypraea sp4,Mollusca,Gastropoda,Cypraeidae
Cypraea subviridis,Mollusca,Gastropoda,Cypraeidae
Oxyurichthys sp,Chordata,Actinopterygii,Gobiidae
Paphia sp2,Mollusca,Bivalvia,Veneridae
Crossorhombus howensis,Chordata,Actinopterygii,Bothidae
Naxoides carnarvon,Arthropoda,Malacostraca,Epialtidae
Ophiarthrum elegans,Echinodermata,Ophiuroidea,Ophiocomidae
Aka sp1,Arthropoda,Insecta,Cixiidae
Parapercis snyderi,Chordata,Actinopterygii,Pinguipedidae
Petrosia sp29,Porifera,Demospongiae,Petrosiidae
Petrosia sp1,Porifera,Demospongiae,Petrosiidae
Plakortis sp1,Porifera,Homoscleromorpha,Plakinidae
Plocamium sp,Rhodophyta,Florideophyceae,Plocamiaceae
Raylilia coniculifera,Arthropoda,Malacostraca,Leucosiidae
Chama sp3,Mollusca,Bivalvia,Chamidae
Stimdromia angulata,Arthropoda,Malacostraca,Dromiidae
Cryptolutea arafurensis,Arthropoda,Malacostraca,Pilumnidae
Paraplagusia sinerama,Chordata,Actinopterygii,Cynoglossidae
Penaeus latisulcatus,Arthropoda,Malacostraca,Penaeidae
Virgularia sp1,Cnidaria,Anthozoa,Virgulariidae
Acalyptophis peronii,Chordata,Reptilia,Elapidae
Arnoglossus unidentifiable,Chordata,Actinopterygii,Bothidae
Charybdis callianassa,Arthropoda,Malacostraca,Portunidae
Dromidiopsis australiensis,Arthropoda,Malacostraca,Dromiidae
Harpiosquilla harpax,Arthropoda,Malacostraca,Squillidea
Metapenaeopsis sinuosa,Arthropoda,Malacostraca,Penaeidae
Metapenaeus ensis,Arthropoda,Malacostraca,Penaeidae
Parthenope longimanus,Arthropoda,Malacostraca,Parthenopidae
Sargassum polycystum,Ochrophyta,Phaeophyceae,Sargassaceae
Cloridina moluccensis,Arthropoda,Malacostraca,Squillidea
Duncanopsammia sp,Cnidaria,Anthozoa,Dendrophylliidae
Dysidea sp44,Porifera,Demospongiae,Dysideidae
Echinaster sp1,Echinodermata,Asteroidea,Echinasteridae
Haliclona sp3,Porifera,Demospongiae,Chalinidae
Macrophiothrix sp7,Echinodermata,Ophiuroidea,Ophiotrichidae
Niphates sp28,Porifera,Demospongiae,Niphatidae
Ophiactis sp3,Echinodermata,Ophiuroidea,Ophiactidae
Sinupetraliella sp,Bryozoa,Gymnolaemata,Petraliidae
Clorida albolitura,Arthropoda,Malacostraca,Squillidea
Ophiopsila pantherina,Echinodermata,Ophiuroidea,Ophiopsilidae
Terebra sp3,Mollusca,Gastropoda,Terebridae
Bivalvia sp,Mollusca,Bivalvia,NULL
Rapana rapiformis,Mollusca,Gastropoda,Muricidae
Callyspongia sp9,Porifera,Demospongiae,Callyspongiidae
Cyclostomata sp4,Mollusca,Gastropoda,NULL
Dougaloplus echinata,Echinodermata,Ophiuroidea,Amphiuridae
Pronotonyx leavis,Arthropoda,Malacostraca,Pilumnidae
Temnotrema sp3,Echinodermata,Echinoidea,Temnopleuridae
Bivalvia sp6,Mollusca,Bivalvia,NULL
Clorida depressa,Arthropoda,Malacostraca,Squillidea
Coscinoderma mathewsi,Porifera,Demospongiae,Spongiidae
Cryptolutea sp7356,Arthropoda,Malacostraca,Pilumnidae
Psammocinia sp2,Porifera,Demospongiae,Irciniidae
Upogebia sp1,Arthropoda,Malacostraca,Upogebiidae
Capulus sycophanta,Mollusca,Gastropoda,Capulidae
Chicoreus cervicornis,Mollusca,Gastropoda,Muricidae
Paramonacanthus choiro/otisensis,Chordata,Actinopterygii,Monacanthidae
Dictyopteris repens,Ochrophyta,Phaeophyceae,Dictyotaceae
Doxodasya sp,Rhodophyta,Florideophyceae,Rhodomelaceae
Nassarius sp4,Mollusca,Gastropoda,Nassariidae
Naxoides taurus,Arthropoda,Malacostraca,Epialtidae
Conus sp12,Arthropoda,Insecta,Curculionidae
Circe sp3,Mollusca,Bivalvia,Veneridae
Circe sulcata,Mollusca,Bivalvia,Veneridae
Cladophoropsis sp,Chlorophyta,Ulvophyceae,Boodleaceae
Cryptopodia queenslandi,Arthropoda,Malacostraca,Parthenopidae
Fusinus sp2,Mollusca,Gastropoda,Fasciolariidae
Glycymeris hedleyi,Mollusca,Bivalvia,Glycymerididae
Kanekonia queenslandica,Chordata,Actinopterygii,Aploactinidae
Laurencia sp3,Rhodophyta,Florideophyceae,Rhodomelaceae
Malleus sp4,Mollusca,Bivalvia,Malleidae
Neoxanthias michelae,Arthropoda,Malacostraca,Xanthidae
Lapemis hardwickii,Chordata,Reptilia,Elapidae
Oxyurichthys sp1,Chordata,Actinopterygii,Gobiidae
Astele sp1,Mollusca,Gastropoda,Calliostomatidae
Gemmula sp1,Mollusca,Gastropoda,Turridae
Glabropilumnus seminudus,Arthropoda,Malacostraca,Pilumnidae
Laevidentalium sp1,Mollusca,Scaphopoda,Laevidentaliidae
Quollastria capricornae,Arthropoda,Malacostraca,Squillidea
Parexocoetus mento,Chordata,Actinopterygii,Exocoetidae
Cymbacephalus nematophthalmus,Chordata,Actinopterygii,Platycephalidae
Geodia sp5,Porifera,Demospongiae,Geodiidae
Halichondria sp10,Porifera,Demospongiae,Halichondriidae
Scolymia sp,Cnidaria,Anthozoa,Faviidae
Callyspongia sp7,Porifera,Demospongiae,Callyspongiidae
Chicomurex sp1,Mollusca,Gastropoda,Muricidae
Dolicholatirus sp2,Mollusca,Gastropoda,Fasciolariidae
Fusinus sp3,Mollusca,Gastropoda,Fasciolariidae
Halophila tricostata,Tracheophyta,Liliopsida,Hydrocharitaceae
Hypoglossum sp2,Rhodophyta,Florideophyceae,Delesseriaceae
Isaurus tuberculatus,Cnidaria,Anthozoa,Zoanthidae
Leucosia formosensis,Arthropoda,Malacostraca,Leucosiidae
Lobulogobius omanensis,Chordata,Actinopterygii,Gobiidae
Scorpaenopsis furneauxi,Chordata,Actinopterygii,Scorpaenidae
Dendrilla ,Porifera,Demospongiae,Darwinellidae
Glossus lamarchii,Mollusca,Bivalvia,Glossidae
Hyastenus convexus,Arthropoda,Malacostraca,Epialtidae
Iphiculus spongiosus,Arthropoda,Malacostraca,Iphiculidae
Leucosia magna,Arthropoda,Malacostraca,Leucosiidae
Hippopetraliella dorsiporosa,Bryozoa,Gymnolaemata,Petraliidae
Macropora sp,Bryozoa,Gymnolaemata,Macroporidae
Nephthea sp8,Cnidaria,Anthozoa,Nephtheidae
Parapriacanthus ransonetti,Chordata,Actinopterygii,Pempheridae
Rhabdopleura sp,Hemichordata,Pterobranchia,Rhabdopleuridae
Thalamita intermedia,Arthropoda,Malacostraca,Portunidae
Tubiporella sp,Bryozoa,Gymnolaemata,Didymosellidae
Chicoreus sp,Mollusca,Gastropoda,Muricidae
Thalamita hanseni,Arthropoda,Malacostraca,Portunidae
Anemone sp9,Tracheophyta,Magnoliopsida,Ranunculaceae
Anquipecten aurantiacus,Mollusca,Bivalvia,Pectinidae
Pilumnus semilanatus,Arthropoda,Malacostraca,Pilumnidae
Myra mammillaris,Arthropoda,Malacostraca,Leucosiidae
Halymenia sp1,Rhodophyta,Florideophyceae,Halymeniaceae
Ixa pulcherrima,Arthropoda,Malacostraca,Leucosiidae
Leiognathus sp41,Chordata,Actinopterygii,Leiognathidae
Ixa edwardsii,Arthropoda,Malacostraca,Leucosiidae
Ixa inermis,Arthropoda,Malacostraca,Leucosiidae
Lagocephalus sp41,Chordata,Actinopterygii,Tetraodontidae
